file,book,conference,DO,TY,TI,T2,SP,EP,PY,JO,IS,SN,VO,VL,JA,Y1,PB,UR,AU,KW,AB
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935603,JOUR,IEEE Transactions on Visualization and Computer Graphics,IEEE Transactions on Visualization and Computer Graphics,i,i,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935603,[],[],"Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication."
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935654,JOUR,Contents,IEEE Transactions on Visualization and Computer Graphics,ii,ix,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935654,[],[],Presents the table of contents for this issue of this publication.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935643,JOUR,Message from the Editor-in-Chief,IEEE Transactions on Visualization and Computer Graphics,x,x,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935643,"['Mueller, K.']",[],Presents the introductory editorial for this issue of the publication.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935644,JOUR,Preface,IEEE Transactions on Visualization and Computer Graphics,xi,xvi,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935644,"['Chang, R.', 'Fujishiro, I.', 'Isenberg, P.', 'Keim, D.', 'Lindstrom, P.', 'Maciejewski, R.', 'Meyer, M.', 'Weber, G. H.', 'Weiskopf, D.', 'Wood, J.']",[],"This January 2020 issue of the IEEE Transactions on Visualization and Computer Graphics (TVCG) contains the proceedings of IEEE VIS 2019, held during 20-25 October 2019 at the Vancouver Convention Center in Vancouver, BC, Canada. With IEEE VIS 2019, the conference series is in its 30 th year. IEEE VIS consists of three conferences, held concurrently: the IEEE Visual Analytics Science and Technology Conference (VAST), the IEEE Information Visualization Conference (InfoVis), and the IEEE Scientific Visualization Conference (SciVis). These three conferences are the premier venues for the visualization community to exchange the latest ideas and developments, attracting researchers and practitioners alike."
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935653,JOUR,IEEE Visualization and Graphics Technical Committee (VGTC): http://vgtc.org/,IEEE Transactions on Visualization and Computer Graphics,xvii,xvii,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935653,[],[],Provides a listing of current committee members and society officers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935609,JOUR,VIS Conference Committee,IEEE Transactions on Visualization and Computer Graphics,xviii,xix,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935609,[],[],Provides a listing of current committee members and society officers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935657,JOUR,VAST International Program Committee,IEEE Transactions on Visualization and Computer Graphics,xx,xx,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935657,[],[],Provides a listing of current committee members and society officers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935658,JOUR,InfoVis International Program Committee,IEEE Transactions on Visualization and Computer Graphics,xxi,xxi,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935658,[],[],Provides a listing of current committee members and society officers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935659,JOUR,SciVis International Program Committee,IEEE Transactions on Visualization and Computer Graphics,xxii,xxii,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935659,[],[],Provides a listing of current committee members and society officers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935637,JOUR,Committees,IEEE Transactions on Visualization and Computer Graphics,xxiii,xxiii,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935637,[],[],"Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication."
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935660,JOUR,VAST Paper Reviewers,IEEE Transactions on Visualization and Computer Graphics,xxiv,xxv,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935660,[],[],The conference offers a note of thanks and lists its reviewers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935639,JOUR,InfoVis Paper Reviewers,IEEE Transactions on Visualization and Computer Graphics,xxvi,xxvii,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935639,[],[],The conference offers a note of thanks and lists its reviewers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935640,JOUR,SciVis Paper Reviewers,IEEE Transactions on Visualization and Computer Graphics,xxviii,xxviii,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935640,[],[],The conference offers a note of thanks and lists its reviewers.
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935641,JOUR,The 2019 Visualization Career Award,IEEE Transactions on Visualization and Computer Graphics,xxix,xxix,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935641,"['Ertl, T.']",[],"The 2019 Visualization Career Award goes to Thomas Ertl, Thomas Ertl is a Professor of Computer Science at the University of Stuttgart where he founded the Institute for Visualization and Interactive Systems (VIS) and the Visualization Research Center (VISUS). He received a MSc in Computer Science from the University of Colorado at Boulder and a PhD in Theoretical Astrophysics from the University of Tuebingen. After a few years as postdoc and cofounder of a Tuebingen based IT company, he moved to the University of Erlangen as a Professor of Computer Graphics and Visualization. He served the University of Stuttgart in various administrative roles including Dean of Computer Science and Electrical Engineering and Vice President for Research and Advanced Graduate Education. Currently, he is the Spokesperson of the Cluster of Excellence Data-Integrated Simulation Science and Director of the Stuttgart Center for Simulation Science."
TVCG-2020-1.ris,TVCG,prologue,10.1109/TVCG.2019.2935661,JOUR,The 2019 Visualization Technical Achievement Award,IEEE Transactions on Visualization and Computer Graphics,xxx,xxx,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2935661,"['Groller, E.']",[],"The 2019 Visualization Technical Achievement Award goes to Eduard Groller, Eduard Groller is Professor at the Institute of Visual Computing & Human-Centered Technology (VC&HCT), Vienna University of Technology. In 1993 he received his PhD from the same university. His research interests include computer graphics, visualization, and visual computing."
TVCG-2020-1.ris,TVCG,Vis,10.1109/TVCG.2019.2934668,JOUR,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,IEEE Transactions on Visualization and Computer Graphics,1,11,2020,IEEE Transactions on Visualization and Computer Graphics,1,['2160-9306'],26,26,IEEE Transactions on Visualization and Computer Graphics,Jan. 2020,,https://doi.org/10.1109/TVCG.2019.2934668,"['Yu, B.', 'Silva, C. T.']","[""Data visualization"", ""Visualization"", ""Semantics"", ""Usability"", ""Data analysis"", ""Task analysis"", ""Automobiles"", ""Natural language interface"", ""dataflow visualization system"", ""visual data exploration""]","Dataflow visualization systems enable flexible visual data exploration by allowing the user to construct a dataflow diagram that composes query and visualization modules to specify system functionality. However learning dataflow diagram usage presents overhead that often discourages the user. In this work we design FlowSense, a natural language interface for dataflow visualization systems that utilizes state-of-the-art natural language processing techniques to assist dataflow diagram construction. FlowSense employs a semantic parser with special utterance tagging and special utterance placeholders to generalize to different datasets and dataflow diagrams. It explicitly presents recognized dataset and diagram special utterances to the user for dataflow context awareness. With FlowSense the user can expand and adjust dataflow diagrams more conveniently via plain English. We apply FlowSense to the VisFlow subset-flow visualization system to enhance its usability. We evaluate FlowSense by one case study with domain experts on a real-world data analysis problem and a formal user study."
